GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hexxagon,Hexxagon.Model,IGamePlay.StatusCode,44,0,0,0,5,0,1,0,1,0
Hexxagon,Hexxagon.Model,IGameData.ProcessStatusCode,0,64,0,0,0,7,0,1,0,1
Hexxagon,Hexxagon.Model,GamePlay,154,291,18,52,36,63,24,32,9,12
Hexxagon,Hexxagon.Model,GamePlay.Field,48,76,10,12,12,24,14,5,4,4
Hexxagon,Hexxagon.Model,GameData,802,293,116,38,172,60,93,24,29,11
Hexxagon,Window,IntroPage,304,29,0,0,72,6,6,2,6,2
Hexxagon,Window,JFXPage,62,11,0,0,25,4,2,2,2,2
Hexxagon,Window,InfoPage,160,0,0,0,39,0,7,0,7,0
Hexxagon,Window,SettingsPage,424,15,16,0,100,4,17,2,9,2
Hexxagon,Window,SettingsPage.new ListCell() {...},26,0,4,0,7,0,4,0,2,0
Hexxagon,Window,SettingsPage.new ListCell() {...},26,0,4,0,7,0,4,0,2,0
Hexxagon,Window,PlayPage,174,8,0,0,41,3,8,2,8,2
Hexxagon,Window,Storage.BoardModeItem.PlayerRow,24,49,6,6,8,17,8,3,2,3
Hexxagon,Window,TSelectItem,4,15,0,0,2,6,1,3,1,3
Hexxagon,Window,Storage.BoardModeItem,14,178,4,30,5,54,5,25,1,12
Hexxagon,Window,Container,208,52,13,5,66,16,22,8,15,6
Hexxagon,Window,Storage,63,268,12,26,18,59,14,21,2,14
Hexxagon,Hexxagon.Controller,GameController,1818,208,290,0,438,5,195,2,50,2
Hexxagon,Hexxagon.Controller,HumanPlayer,15,0,0,0,6,0,2,0,2,0
Hexxagon,Hexxagon.Controller,Player,39,40,1,3,12,14,6,6,5,5
Hexxagon,Hexxagon.Controller,GameController.new EventHandler() {...},52,0,4,0,12,0,4,0,2,0
Hexxagon,Hexxagon.Controller,AIPlayer,334,0,48,0,57,0,31,0,7,0
Hexxagon,Hexxagon.Controller,GameController.new Task() {...},65,0,8,0,14,0,6,0,2,0
Hexxagon,Support,TArray,53,0,8,0,10,0,6,0,2,0
Hexxagon,Support,TCoordinate2D,35,15,10,0,12,6,6,3,1,3
Hexxagon,Support,TFailed,7,0,0,0,4,0,2,0,2,0
Hexxagon,Support,TItem,14,58,3,5,6,21,5,9,2,8
Hexxagon,Support,TError,15,4,0,0,3,2,2,1,2,1
Hexxagon,Support.mvc,TController,143,24,12,2,35,9,14,3,7,3
Hexxagon,Support.mvc,TModel,12,21,0,0,4,7,2,3,2,3
Hexxagon,Support.mvc,TView,32,9,4,0,13,4,8,1,6,1
Hexxagon,Support.navigator,TNavigator,200,41,26,2,43,8,21,3,7,3
Hexxagon,Support.navigator,TPage,48,10,6,0,18,4,11,1,8,1
Hexxagon,Hexxagon.View,PlayBoard.BoardPit,524,0,16,0,127,0,26,0,18,0
Hexxagon,Hexxagon.View,PlayBoard.BoardPit.new EventHandler() {...},19,0,0,0,6,0,2,0,2,0
Hexxagon,Hexxagon.View,PlayBoard.BoardPit.new EventHandler() {...},7,0,0,0,2,0,2,0,2,0
Hexxagon,Hexxagon.View,PlayBoard.BoardPit.new EventHandler() {...},7,0,0,0,2,0,2,0,2,0
Hexxagon,Hexxagon.View,InfoBoard,228,0,24,0,62,0,27,0,15,0
Hexxagon,Hexxagon.View,InfoBoard.PlayerRow,370,0,10,0,74,0,14,0,9,0
Hexxagon,Hexxagon.View,PlayBoard,1086,0,74,0,181,0,61,0,24,0
Hexxagon,Hexxagon.View,IPlayBoard.FinishCodeEnum,34,0,0,0,4,0,1,0,1,0
Hexxagon,Hexxagon.View,PlayBoard.Coordinate,15,0,0,0,6,0,3,0,3,0
Hexxagon,Hexxagon.View,FaceBoard,1297,0,4,0,176,0,15,0,13,0
Hexxagon,Main,Main,2210,0,0,0,93,0,10,0,10,0
Hexxagon,Hexxagon.AI,JumpOperator,242,295,34,30,40,41,24,14,0,6
Hexxagon,Hexxagon.AI,BoardState,144,478,26,95,25,90,24,59,1,20
Hexxagon,Hexxagon.AI,Heuristic,579,0,60,0,81,0,38,0,8,0
Hexxagon,Hexxagon.AI,MinMax.BranchResult,15,0,0,0,6,0,3,0,3,0
Hexxagon,Hexxagon.AI,MinMax,441,0,72,0,99,0,43,0,7,0
Hexxagon,Hexxagon.AI,ImpossibleOperator,81,7,16,0,20,2,11,1,3,1
Hexxagon,Hexxagon.AI,FissionOperator,206,371,28,44,30,63,22,21,1,6
Hexxagon,Hexxagon.AI,Heuristic.HeuristicFactory,10,0,0,0,3,0,2,0,2,0
Hexxagon,Hexxagon.AI,Operator,38,118,5,9,3,18,5,10,1,7
